x-idx,y-idx,value
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,43
8,0,484
9,0,939
10,0,1144
11,0,908
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,909
7,1,1264
8,1,1397
9,1,1215
10,1,1243
11,1,1339
0,2,0
1,2,0
2,2,0
3,2,0
4,2,22
5,2,887
6,2,2577
7,2,1329
8,2,1341
9,2,1929
10,2,1937
11,2,1589
0,3,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,1674
6,3,2020
7,3,3908
8,3,1567
9,3,1189
10,3,1635
11,3,2174
0,4,0
1,4,0
2,4,0
3,4,0
4,4,344
5,4,3107
6,4,2043
7,4,2157
8,4,3186
9,4,2008
10,4,1437
11,4,1938
0,5,0
1,5,0
2,5,0
3,5,0
4,5,3728
5,5,3772
6,5,4812
7,5,3813
8,5,2479
9,5,3435
10,5,2302
11,5,2605
0,6,0
1,6,0
2,6,0
3,6,4037
4,6,3688
5,6,2542
6,6,2677
7,6,3201
8,6,3990
9,6,1594
10,6,975
11,6,2520
0,7,0
1,7,0
2,7,0
3,7,2040
4,7,1319
5,7,1760
6,7,1609
7,7,1481
8,7,1996
9,7,2252
10,7,0
11,7,0
0,8,0
1,8,0
2,8,0
3,8,2065
4,8,1454
5,8,908
6,8,931
7,8,349
8,8,1421
9,8,2428
10,8,0
11,8,0
0,9,0
1,9,0
2,9,0
3,9,1266
4,9,1624
5,9,910
6,9,818
7,9,892
8,9,492
9,9,756
10,9,1511
11,9,753
0,10,0
1,10,75
2,10,0
3,10,1842
4,10,1547
5,10,824
6,10,881
7,10,890
8,10,1347
9,10,147
10,10,2171
11,10,576
0,11,0
1,11,325
2,11,30
3,11,0
4,11,1596
5,11,1523
6,11,1355
7,11,1477
8,11,1494
9,11,1895
10,11,2530
11,11,2260
